iter	Passed	Remaining
477	631	689
478	632	687
479	633	686
480	634	684
481	635	682
482	636	681
483	637	679
484	638	677
485	639	676
486	640	674
487	641	673
488	642	671
489	643	669
490	644	668
491	645	666
492	646	665
493	647	663
494	648	661
495	649	660
496	650	658
497	651	657
498	652	655
499	654	654
500	655	652
501	656	651
502	657	649
503	658	647
504	659	646
505	660	644
506	661	643
507	662	641
508	663	639
509	664	638
510	665	636
511	666	635
512	667	634
513	668	632
514	669	630
515	670	629
516	671	627
517	673	626
518	674	624
519	675	623
520	676	621
521	677	620
522	678	618
523	679	617
524	680	615
525	681	613
526	682	612
527	682	610
528	684	609
529	685	607
530	686	605
531	687	604
532	687	602
533	688	601
534	689	599
535	690	598
536	692	596
537	692	594
538	693	593
539	694	591
540	695	590
541	696	588
542	697	587
543	698	585
544	699	584
545	700	582
546	701	580
547	702	579
548	703	577
549	704	576
550	705	574
551	706	573
552	707	571
553	708	570
554	710	569
555	711	567
556	712	566
557	713	564
558	713	563
559	715	561
560	716	560
561	717	558
562	717	557
563	718	555
564	719	554
565	720	552
566	721	551
567	722	549
568	723	548
569	724	546
570	725	545
571	726	543
572	727	542
573	729	541
574	729	539
575	730	538
576	731	536
577	732	534
578	733	533
579	734	532
580	735	530
581	736	529
582	737	527
583	738	525
584	739	524
585	740	523
586	741	521
587	742	519
588	742	518
589	743	516
590	744	515
591	745	513
592	746	512
593	747	511
594	748	509
595	749	508
596	751	506
597	752	505
598	753	504
599	754	503
600	755	501
601	756	500
602	757	498
603	758	497
604	759	496
605	760	494
606	761	493
607	762	491
608	763	490
609	764	488
610	765	487
611	766	485
612	767	484
613	768	483
614	769	481
615	770	480
616	771	478
617	772	477
618	772	475
619	773	474
620	774	472
621	775	471
622	776	470
623	777	468
624	778	467
625	779	465
626	780	464
627	781	463
628	782	461
629	783	460
630	784	458
631	785	457
632	786	455
633	787	454
634	787	452
635	788	451
636	789	449
637	790	448
638	790	446
639	791	445
640	792	443
641	793	442
642	793	440
643	794	439
644	795	438
645	796	436
646	797	435
647	798	433
648	799	432
649	799	430
650	800	429
651	801	427
652	802	426
653	802	424
654	803	423
655	804	421
656	805	420
657	805	418
658	806	417
659	807	415
660	808	414
661	809	413
662	810	411
663	810	410
664	811	408
665	812	407
666	813	405
667	813	404
668	814	403
669	815	401
670	816	400
671	816	398
672	817	397
673	818	395
674	819	394
675	819	392
676	820	391
677	821	390
678	822	388
679	823	387
680	823	385
681	824	384
682	825	383
683	826	381
684	828	380
685	832	380
686	834	379
687	835	378
688	836	377
689	838	376
690	840	375
691	841	374
692	843	373
693	844	372
694	847	371
695	848	370
696	849	369
697	850	368
698	851	366
699	853	365
700	854	364
701	856	363
702	857	362
703	860	361
704	862	360
705	863	359
706	864	358
707	865	357
708	866	355
709	867	354
710	868	353
711	869	351
712	870	350
713	871	349
714	872	347
715	873	346
716	875	345
717	876	344
718	877	343
719	878	341
720	879	340
721	880	339
722	881	337
723	882	336
724	883	335
725	884	333
726	885	332
727	886	331
728	887	329
729	888	328
730	889	327
731	890	326
732	891	324
733	892	323
734	893	322
735	894	320
736	895	319
737	896	318
738	897	317
739	898	315
740	900	314
741	900	313
742	902	312
743	903	310
744	904	309
745	905	308
746	906	306
747	907	305
748	908	304
749	909	303
750	910	301
751	911	300
752	911	299
753	912	297
754	913	296
755	915	295
756	916	294
757	917	292
758	918	291
759	918	290
760	920	289
761	921	287
762	922	286
763	923	285
764	923	283
765	924	282
766	926	281
767	927	280
768	928	278
769	929	277
770	930	276
771	931	275
772	932	273
773	933	272
774	934	271
775	935	270
776	936	268
777	937	267
778	938	266
779	939	265
780	940	263
781	941	262
782	942	261
783	943	260
784	944	258
785	946	257
786	947	256
787	948	255
788	948	253
789	949	252
790	950	251
791	951	249
792	952	248
793	953	247
794	954	246
795	955	244
796	956	243
797	957	242
798	958	241
799	959	239
800	960	238
801	961	237
802	962	236
803	963	234
804	964	233
805	965	232
806	966	231
807	967	229
808	968	228
809	969	227
810	970	226
811	971	224
812	972	223
813	973	222
814	974	221
815	975	219
816	976	218
817	977	217
818	978	216
819	979	215
820	980	213
821	981	212
822	982	211
823	983	210
824	984	208
825	985	207
826	986	206
827	987	205
828	989	204
829	990	202
830	990	201
831	991	200
832	992	199
833	993	197
834	994	196
835	996	195
836	997	194
837	998	192
838	999	191
839	1000	190
840	1001	189
841	1002	188
842	1003	186
843	1004	185
844	1005	184
845	1006	183
846	1007	181
847	1008	180
848	1009	179
849	1010	178
850	1011	177
851	1012	175
852	1013	174
853	1014	173
854	1015	172
855	1016	170
